ppg1,ppg2,ppg3
115189,308823,442580
115378,308892,442850
115504,309076,442890
115669,309219,442802
115810,309333,443029
116031,309555,443040
116227,309641,443121
116429,310064,443419
116599,310177,443473
116778,310227,443484
116951,310341,443508
117122,310560,443515
117316,310894,443546
117488,310988,443701
117613,311040,443673
117734,311175,443732
117858,311356,443718
118030,311382,443763
117965,310868,443211
117330,309360,441996
116573,307378,440572
116320,306282,439869
116251,306046,439401
116443,306085,439312
116603,306390,439617
116755,306591,439780
116863,306742,439793
117016,307011,439862
117262,307627,440312
117672,308304,440736
118020,308960,441151
118284,309366,441429
118417,309448,441310
118470,309397,441397
118597,309504,441176
118712,309595,441221
118889,309735,441237
119090,310053,441256
119287,310221,441383
119453,310338,441537
119612,310463,441672
119728,310626,441634
119864,310760,441703
119949,310779,441807
120042,311054,441820
120177,311099,441801
120318,311239,441966
120432,311437,441916
120575,311423,442031
120665,311504,442064
120798,311743,441990
120894,311767,442127
121012,311961,441980
121170,311996,441984
121272,312272,442024
121454,312369,441934
121625,312511,442081
121664,312094,441617
121267,310694,440398
120747,309386,439296
120429,308860,438987
120516,308924,438758
120831,309137,438910
121090,309492,439024
121301,309684,439075
121505,309757,439024
121658,309921,439173
121820,310216,439215
122015,310403,439190
122229,310723,439470
122356,310775,439627
122427,310880,439489
122476,310789,439425
122483,310721,439390
122554,310674,439321
122659,310703,439413
122757,310714,439422
122845,310904,439411
122965,311080,439490
122880,311172,439607
122978,311167,439569
123082,311475,439690
123210,311693,439790
123273,311808,439777
123385,311834,439879
123434,311988,439843
123548,311983,439968
123643,312025,439837
123680,312186,439868
123737,312117,440040
123823,312264,439858
123891,312305,439923
123976,312318,440014
124014,312471,439989
124075,312454,439957
124141,312445,439894
123950,311517,439207
123312,309684,437781
122584,308428,437198
122315,307964,436740
122475,308152,437016
122796,308624,437155
123062,309006,437432
123243,309161,437286
123387,309246,437454
123550,309495,437562
123755,309695,437609
123958,310295,437992
124150,310500,437957
124222,310621,438104
124306,310648,437999
124304,310549,438008
124316,310380,437910
124390,310464,437937
124479,310481,437836
124556,310609,437913
124672,310785,437904
124714,310852,438141
124790,310981,437945
124849,311169,438107
124895,311217,438147
124971,311264,438268
125033,311217,438196
125050,311219,438435
125141,311402,438205
125214,311452,438312
125259,311667,438347
125331,311698,438257
125396,311713,438488
125460,311926,438444
125540,311817,438525
125581,311886,438441
125517,311390,438062
125097,309983,436997
124390,308426,435922
123774,307629,435498
123712,307474,435396
123933,307798,435651
124233,308219,435966
124520,308477,436029
124694,308599,436072
124838,308770,436146
125030,309066,436200
125242,309463,436369
125457,309788,436634
125555,309855,436771
125583,309955,436689
125606,309848,436665
125609,309814,436503
125626,309824,436535
125693,309856,436396
125751,309920,436600
125868,310091,436633
125927,310157,436739
126023,310253,436699
126048,310365,436787
126134,310581,436822
126226,310610,436798
126239,310739,437033
126288,310903,437011
126380,310944,436875
126403,311007,437010
126457,311109,436969
126535,311105,436946
126557,311173,436892
126638,311211,437111
126659,311253,436950
126570,310629,436563
126055,309017,435252
125113,307338,434419
124533,306467,433799
124513,306531,433899
124801,306950,434115
125080,307351,434489
125365,307658,434602
125557,307818,434700
125766,307929,434709
125999,308331,435138
126226,308821,435024
126427,309116,435359
126509,309217,435427
126532,309186,435476
126529,309096,435355
126534,309102,435304
126597,309183,435350
126621,309254,435326
126745,309281,435548
126815,309480,435524
126847,309627,435544
126981,309767,435652
127022,309924,435556
127101,309933,435888
127107,310079,435784
127194,310062,435862
127238,310093,435908
127334,310288,436028
127329,310312,435919
127390,310440,435929
127428,310475,436023
127464,310603,435881
127464,310057,435774
126960,308828,434844
126220,307296,433887
125574,306533,433298
125555,306561,433244
125771,306900,433656
126130,307353,433846
126367,307680,433896
126549,307789,434082
126673,307896,434166
126852,308117,434276
127110,308557,434563
127238,308855,434735
127315,308884,434902
127294,309025,434868
127332,308806,434708
127341,308909,434695
127348,308867,434547
127424,308922,434691
127487,309068,434756
127570,309206,434826
127615,309298,434908
127692,309499,434956
127694,309552,435181
127748,309776,435189
127816,309750,435349
127886,309937,435224
127923,309990,435299
