ppg1,ppg2,ppg3
93775,301903,455299
95011,303474,456120
96222,304711,456736
97432,306131,457284
98606,307621,457981
99674,308537,458111
100665,309186,458345
101507,309622,458555
102363,310122,458413
103143,310517,458588
103931,310964,458542
104660,310894,458185
105235,310031,457418
105493,308750,456421
105670,307853,455807
106104,307834,455612
106679,308253,455658
107009,308501,455729
107504,308779,455750
107958,308799,455671
108426,309039,455583
108982,309543,455950
109567,310126,456131
110033,310417,456209
110367,310488,456067
110710,310431,455996
111042,310402,455941
111398,310402,455708
111698,310530,455839
111981,310614,455636
112234,310726,455607
112542,310862,455670
112850,311042,455655
113107,311165,455678
113335,311051,455642
113579,311109,455379
113793,311163,455398
113964,311052,455386
114084,310905,455255
114124,310530,454709
113979,309672,453865
113179,307682,452427
111863,304446,450035
110633,300942,447599
109111,298349,445588
107832,297339,444590
106939,297025,443960
106278,296325,443440
105796,296014,442902
105387,295648,442596
105047,295099,442315
104864,295048,442058
104854,295111,442218
105006,295443,442293
105173,295751,442587
105368,295991,442703
105663,296613,442979
106110,297227,443223
106657,298015,443735
107457,299168,444301
108291,300386,444980
109059,301569,445551
109895,302909,446231
110642,304125,446818
111295,304860,447182
111829,305458,447291
112357,305950,447648
112861,306744,447902
113362,307124,448200
113781,307569,448477
114174,307931,448641
114591,308334,448922
114887,308400,448833
115047,307878,448298
114784,306256,447086
114323,304773,446182
114167,304227,445901
114346,304384,445742
114611,304629,445996
114938,305021,446204
115268,305409,446472
115474,305802,446458
115808,306103,446778
116144,306526,446990
116378,306904,447247
116647,307029,447209
116824,307267,447237
116988,307226,447261
117083,307202,447243
117237,307198,447374
117388,307427,447166
117612,307644,447273
117828,307853,447551
118019,308095,447510
118157,308240,447758
118357,308407,447693
118478,308691,447833
118608,308657,447779
118728,308930,447796
118854,309105,448011
118992,309292,448043
119087,309418,448036
119150,309613,448194
119289,309632,448229
119323,309564,447993
119220,308776,447331
118953,307531,446538
118780,306776,446091
118772,306734,445872
119003,307114,446146
119258,307475,446405
119492,307755,446430
119654,307963,446569
119818,308281,446638
120012,308488,446817
120193,308874,447067
120363,309037,447171
120480,309135,447209
120570,309189,447123
120659,308961,447079
120731,308887,446995
120775,308988,446876
120880,309078,446951
120973,309184,447082
121070,309295,447127
121198,309381,447011
121317,309521,447128
121387,309519,447125
121439,309496,447143
121550,309583,447225
121666,309739,447058
121775,309800,447358
121871,309784,447362
121960,309897,447291
122051,310036,447177
122130,310083,447292
122155,309645,447104
121954,308624,446242
121533,307257,445479
121270,306475,444886
121271,306511,444827
121430,306595,444987
121670,307081,445353
121806,307204,445371
121927,307614,445493
122096,307737,445625
122270,308191,445899
122426,308500,446125
122549,308508,446044
122554,308489,446136
122461,308298,445959
122398,307979,445943
122364,307958,445762
122412,307970,445943
122501,308045,445878
122612,308281,445949
122727,308547,446257
122853,308754,446175
122962,308886,446168
122871,309049,446276
122937,309186,446222
123077,309334,446345
123156,309455,446390
123257,309517,446301
123335,309505,446555
123384,309637,446493
123464,309783,446531
123475,309541,446364
123342,308863,445853
122831,307332,444875
122340,306332,444160
122161,305981,443952
122282,306058,443999
122487,306492,444237
122722,306779,444357
122847,306903,444616
123003,307172,444600
123196,307570,444828
123442,307941,445133
123546,308058,445174
123581,308101,445261
123519,307997,445077
123499,307814,444894
123545,307745,444947
123555,307785,444842
123623,308039,445065
123709,308142,444997
123786,308282,445031
123890,308454,445264
123991,308665,445369
124036,308678,445384
124116,308796,445376
124195,308701,445272
124285,308905,445553
124328,309040,445479
124411,309121,445788
124457,309221,445676
124481,309213,445673
124413,308749,445299
123957,307389,444411
123332,306220,443472
123050,305614,443134
123039,305666,443220
123265,305920,443367
123469,306264,443515
123633,306511,443733
123802,306796,443749
123930,307082,444024
124056,307219,444243
124127,307410,444397
124138,307328,444060
124105,307026,444128
124008,306899,443887
124009,306837,443730
124012,306819,443906
123984,306728,443885
124045,306734,443886
124074,306874,443883
124087,306870,443729
124125,306933,443887
124199,306925,443884
124289,306962,443776
124451,307127,443846
124574,307321,444084
124658,307478,444094
124738,307514,444177
124846,307716,444264
124832,307587,444220
124477,306741,443498
123693,305399,442640
122846,303981,441825
122351,303459,441350
122276,303317,441308
122382,303620,441458
122646,304009,441630
122810,304355,442073
123020,304724,442199
123440,305312,442551
123821,305942,442718
124052,306288,443003
124169,306274,443045
124187,306458,442981
124198,306334,443009
124217,306379,442857
124364,306543,442981
124527,306813,443132
124680,307055,443177
124824,307285,443398
124974,307491,443510
125053,307865,443695
125193,308020,443702
125336,308360,443862
125405,308379,443910
125457,308515,444049
125542,308528,443966
125611,308582,444018
